TIDM,Name,Industry,Subsector,Price,Graham number / Close,1y ago Graham number / Close  1y ago,EV / EBIT,1y ago EV / EBIT,EV / EBIT 5y av.,fc PE,PE,1y ago PE,PE 5y av.,PE 10y av.,PEG,1y ago PEG,Price to NAV,1y ago price to NAV,Yield,Dividend Cover,Broker consensus,Previous consensus,EBIT (m),Dir holdings 3m change %,City holdings 3m change %,Net debt to EBITDA,% Total Return 1y,EV / Free cash flow,Beta 1y daily (vs. UKX) TTM,
HUI,Hydrogen Utopia International PLC,Energy,Alternative Fuels,£0.0475,,,,,,,,,,,,,5.4,,,,,,-1.5,0.0000,0.0000,,,104.5,,
HGEN,Hydrogenone Capital Growth PLC,Energy,Renewable Energy Equipment,£0.544,1.0005,0,,,,6.5,42.0,,,,0.08,,0.6,,,,Buy,Buy,0.0,0.0000,11.4601,,-37.1,-24.0,0.62,
0AB6,Hyloris Pharmaceuticals SA,Health Care,Biotechnology,€13.4003,,,,,,,,,,,,,6.8,,,,,,-10.4,,,,-1.03,-19.0,-0.02,
INX,i-nexus Global PLC,Technology,Software,£0.0425,5.7246,3.8144,,,,,,,,,,,-0.5,-1.5,,,No Opinion,No Opinion,-0.9,0.0000,0.0000,,16.4,-7.0,0.33,
IX.,I(X) Net Zero PLC,Financials,Asset Managers and Custodians,£0.225,,,,,,,,,,,,,0.4,,,,,,-8.2,0.0000,0.0000,,4.65,-3.0,-1.92,
I3E,i3 Energy PLC,Energy,Oil - Crude Producers,£0.1403,2.3351,0.23989,2.7,17.9,,7.4,4.0,133.5,,,,0.04,1.0,1.1,13.5,1.8,Buy,Buy,64.2,0.0477,3.1705,0.1,-35.1,8.8,1.15,
0ERM,Iberpapel Gestion SA,Basic Materials,Paper,€15.95,1.7041,1.5889,8.7,15.3,21.4,,13.0,21.0,32.7,23.2,,0.5,0.6,0.7,2.5,3.1,,,15.0,,,-3.1,18.9,-25.0,0.11,
IBST,Ibstock PLC,Industrials,Cement,£1.3775,1.6424,1.0706,6.1,13.4,,9.8,6.2,14.8,20.1,,,0.2,1.3,2.0,6.3,2.6,Outperform,Outperform,102.8,0.0266,0.0000,0.6,-12.2,12.5,0.79,
0UNS,Ibu Tec Advanced Materials AG,Basic Materials,Chemicals - Diversified,€22.90,0.38128,,54.5,218.2,136.4,,84.5,,,,,,1.8,3.6,0.2,6.8,,,1.9,,,0.5,33.2,-7.8,0.69,
ICGT,ICG Enterprise Trust PLC,Financials,Closed End Investments,£11.92,2.6875,3.6653,,,,22.2,5.0,3.6,5.5,7.8,,,0.6,0.7,2.5,8.0,Outperform,Outperform,0.0,0.0063,0.0000,,24.8,-13.5,0.81,
LBOW,ICG-Longbow Senior Secured UK Property Debt Investments Ltd,Financials,Closed End Investments,£0.266,1.7246,1.6285,,,,,17.9,13.7,18.3,24.6,,,0.4,1.0,13.4,0.4,Hold,Hold,0.0,0.0000,0.0000,,-25.7,1.4,-0.16,
ICON,Iconic Labs PLC,Consumer Discretionary,Media Agencies,£0.1075,33.345,10.336,,,,,,,,,,,-0.0,-0.7,,,,,-0.9,0.0000,-19985.6477,,-93.3,-59.0,-0.60,
IDOX,IDOX PLC,Technology,Software,£0.632,0.45188,0.40385,36.7,39.2,,22.7,26.2,31.1,26.4,21.6,1.7,7.2,4.2,5.2,0.8,4.8,Buy,Buy,8.0,0.0000,9.0007,0.4,-2.6,47.2,0.10,
IGR,IG Design Group PLC,Consumer Staples,Personal Products,£1.46,,,,26.0,,20.7,,,,,,,0.5,0.2,,,Buy,Buy,-20.0,-22.3644,0.0000,0.6,88.4,12.2,0.57,
IGG,IG Group Holdings PLC,Financials,Investment Services,£6.39,1.5411,1.3346,4.5,4.5,6.3,6.5,6.9,7.4,9.3,12.8,1.2,,1.3,1.5,6.9,2.1,Outperform,Outperform,468.6,-0.0091,-2.8605,-0.9,-9.68,13.3,1.15,
IKIV,Ikigai Ventures Limited,Financials,Open End and Miscellaneous Investment Vehicles,£0.465,0.050359,,,,,,,,,,,,-534.2,,,,,,-0.6,0.0000,0.0000,,-16.2,-24.1,0.02,
IKA,Ilika PLC,Industrials,Electrical Components,£0.33,,,,,,,,,,,,,2.1,5.4,,,Buy,Buy,-8.9,-0.0021,13.1929,,-42.1,-4.9,1.33,
IGE,Image Scan Holdings PLC,Technology,Production Technology Equipment,£0.0185,,1.6656,,15.5,,26.4,,14.3,,,,,1.8,2.4,,,No Opinion,No Opinion,-0.3,0.0000,1.0120,,32.1,-4.0,0.08,
IMC,IMC Exploration Group PLC,Basic Materials,General Mining,£0.00445,,,,,,,,,,,,,100.1,12.5,,,,,-0.3,0.0000,0.0000,,-28.8,-69.2,-0.21,
IMI,IMI PLC,Industrials,Electronic Equipment - Control and Filter,£15.59,0.57651,0.69173,16.2,20.3,15.6,13.8,15.0,19.0,15.5,17.0,1.7,1.3,4.5,5.8,1.6,4.1,Outperform,Outperform,304.3,0.0013,0.0000,1.8,41.7,30.7,1.25,
IMM,ImmuPharma PLC,Health Care,Biotechnology,£0.017825,,,,,,,,,,,,,2.4,4.3,,,Sell,Sell,-3.2,-0.0439,12.1748,,-36,-2.8,1.15,
IHR,Impact Healthcare REIT PLC,Real Estate,Health Care REITs,£0.831,1.7774,1.4424,,,,11.8,9.8,15.0,15.2,,,3.0,0.8,1.1,7.9,1.3,Buy,Buy,0.0,0.0000,0.0000,,-10.4,16.0,0.66,
IPX,IMPAX Asset Management Group PLC,Financials,Asset Managers and Custodians,£4.5175,0.68602,0.50786,7.7,32.4,23.3,12.7,10.9,33.5,24.0,20.9,,1.5,4.4,13.8,6.0,1.5,Hold,Hold,73.0,-0.0018,0.0000,-0.6,-4.13,8.2,1.84,
IEM,Impax Environmental Markets PLC,Financials,Closed End Investments,£3.635,,2.4274,,,,,,6.5,,,,,0.9,1.1,1.1,,,,0.0,0.0000,-3.5381,,-10.1,333.2,0.93,
IPEL,Impellam Group PLC,Industrials,Business Training and Employment Agencies,£6.825,1.058,0.86391,13.6,18.1,,,15.4,26.9,14.8,11.3,,0.2,1.3,1.0,,,Buy,Buy,21.1,0.0000,8.2061,-0.6,68.3,6.0,-0.25,
IMB,Imperial Brands PLC,Consumer Staples,Tobacco,£16.615,1.1829,0.88525,7.1,6.6,9.3,5.9,6.3,6.3,6.9,10.3,0.9,0.9,2.3,2.8,8.5,1.9,Outperform,Outperform,3386.0,0.0003,0.0000,2.1,-4.38,9.0,0.52,
INCH,Inchcape PLC,Industrials,Professional Business Support Services,£7.6075,0.93487,0.73302,10.2,12.5,10.9,9.1,11.9,19.9,16.1,14.9,0.4,0.5,1.9,3.1,3.8,2.2,Buy,Buy,410.2,0.0279,0.0000,2.0,8.97,11.7,1.46,
IGV,Income and Growth VCT PLC,Financials,Closed End Investments,£0.735,,3.6446,,,,,,2.6,,,,,0.9,0.9,10.9,,,,0.0,0.0000,0.0000,,0,-54.4,0.06,
IGC,India Capital Growth Fund Ltd,Financials,Closed End Investments,£1.61,0.68801,2.6855,,,,,41.2,3.2,,,,,1.1,0.9,,,,,0.0,0.0000,-7.7480,,29.3,-322.7,0.29,
INDV,Indivior PLC,Health Care,Pharmaceuticals,£17.535,0.17179,0.38358,,8.8,,15.8,18.4,18.9,12.4,,1.1,0.7,57.2,12.0,,,Outperform,Outperform,-72.0,0.0000,0.0000,,27.9,-128.9,0.56,
INHC,Induction Healthcare Group PLC,Health Care,Health Care Services,£0.165,,,,,,,,,,,,,0.6,0.9,,,Buy,Buy,-17.4,0.2141,0.0000,,-50,-3.0,-0.20,
INDI,Indus Gas Ltd,Energy,Oil - Crude Producers,£1.41,1.9166,0.84396,24.9,31.5,26.0,,9.0,21.0,16.5,83.1,,0.8,1.0,2.1,,,No Opinion,No Opinion,45.9,0.0000,0.0000,16.1,-47.4,38.5,-0.41,
INF,Informa PLC,Consumer Discretionary,Media Agencies,£7.405,0.7123,0.70455,39.7,172.9,,17.9,28.0,30.9,28.9,21.6,0.5,0.5,1.5,1.3,1.3,2.7,Outperform,Outperform,268.6,0.0048,0.6792,0.1,43.8,28.0,1.14,
0OQQ,Infotel SA,Technology,Computer Services,€49.27,0.66402,0.53926,8.7,13.8,10.0,,16.7,28.1,22.1,,,0.6,3.0,3.7,4.1,1.5,,,30.3,,,-2.0,7.48,16.5,-0.03,
IIP,Infrastructure India PLC,Financials,Closed End Investments,£0.005,112.5,,,,,,,,,,,,-0.1,0.10,,,No Opinion,No Opinion,0.0,0.0000,0.0000,,11.1,-29.9,-0.55,
ING,Ingenta PLC,Technology,Software,£1.305,0.53591,0.88161,13.3,12.3,,10.6,14.3,6.9,,,0.4,,4.9,2.5,2.7,2.6,No Opinion,Buy,1.2,0.0000,0.0000,-1.1,48,7.7,0.09,
INL,Inland Homes PLC,Real Estate,Real Estate Holding and Development,£0.085,10.853,1.6608,4.4,22.2,12.6,1.7,1.8,83.3,26.5,22.9,0.2,0.1,0.1,0.7,,,Buy,Buy,23.4,5.7125,0.0000,3.2,-56.7,2.5,0.54,
INLZ,Inland ZDP PLC,Real Estate,Real Estate Holding and Development,£0.425,,,,,,,,,,,,,,,,,,,,,,,-75.6,,0.22,
INSG,Insig AI PLC,Financials,Asset Managers and Custodians,£0.185,,,,,,,,,,,,,1.2,0.8,,,,,-4.8,1.1280,0.0000,,-36.2,-8.7,-0.30,
SPEC,Inspecs Group PLC,Health Care,Medical Supplies,£0.855,1.4249,1.1927,,,,10.8,13.0,29.4,,,0.6,,0.8,3.5,,,Buy,Buy,-5.5,0.0000,2.2806,3.0,-39.8,-43.2,0.34,
IHC,Inspiration Healthcare Group PLC,Health Care,Medical Equipment,£0.435,1.4044,1.0185,24.2,16.0,17.1,13.5,14.0,14.6,15.1,,3.6,,0.8,2.0,1.5,4.9,Buy,Buy,1.6,0.0000,1.1358,2.7,-50.2,-3.1,-0.01,
INSE,Inspired Energy PLC,Energy,Alternative Fuels,£0.75,1.7254,1.2334,,75.4,,5.8,5.8,14.0,11.9,12.5,>10,>10,1.2,2.7,3.6,4.9,Buy,Buy,-1.6,-0.9798,1.5773,1.8,-30.9,12.2,-0.09,
INSP,Inspirit Energy Holdings PLC,Industrials,Building Materials - Other,£0.000185,0,0,,,,,,,,,,,0.3,0.7,,,,,-0.3,0.0000,0.0000,,-44.8,-1.9,-0.02,
INS,Instem Life Science Systems PLC,Technology,Computer Services,£8.375,0.48133,0.51955,24.7,39.1,83.2,28.2,26.4,43.4,26.2,21.6,,0.8,3.5,4.2,,,Buy,Buy,7.2,3.4214,28.4490,-1.2,40.8,54.8,0.11,
IHP,IntegraFin Holdings PLC,Financials,Asset Managers and Custodians,£2.436,0.56749,0.59099,,64.5,,18.0,15.0,32.4,31.7,,,>10,4.7,10.5,4.2,1.6,Outperform,Outperform,-13.7,0.0004,0.0000,,12.6,2.7,1.03,
IDHC,Integrated Diagnostic Holdings PLC,Health Care,Medical Services,$0.3785,23.647,19.134,6.6,5.2,9.7,11.9,10.5,8.5,15.4,,,,3.2,4.7,,,Hold,Hold,1155.3,0.0000,0.0000,0.5,-50.2,-32.2,-0.03,
IUG,Intelligent Ultrasound Group PLC,Health Care,Medical Equipment,£0.125,,,,,,,,,,,,,3.4,4.2,,,No Opinion,Buy,-3.7,0.0000,0.0000,,2.04,-12.3,0.21,
IGP,Intercede Group PLC,Technology,Software,£0.47,0.50988,0.41646,27.8,69.2,61.9,39.2,21.4,50.8,29.9,,,0.6,3.9,6.4,,,No Opinion,No Opinion,0.7,0.0755,0.0000,-6.1,23.7,8.2,0.06,
IHG,InterContinental Hotels Group PLC,Consumer Discretionary,Hotels and Motels,£60.02,,,21.5,27.9,36.3,20.2,25.8,44.0,63.4,44.3,0.9,0.5,-7.9,-8.0,3.0,1.3,Hold,Hold,653.0,-0.0561,-2.1191,2.1,34.6,27.5,1.09,
ICP,Intermediate Capital Group PLC,Financials,Investment Services,£13.5675,0.80035,1.6532,,,,11.6,17.7,9.7,14.7,13.1,0.3,,2.0,2.6,5.7,1.0,Outperform,Outperform,0.0,-0.0155,-4.0556,,42.6,34.1,2.07,
IBT,International Biotechnology Trust PLC,Financials,Closed End Investments,£6.31,,1.6642,,,,,,10.6,,,,,0.9,0.9,7.2,,Buy,Buy,0.0,0.0042,0.0000,,-1.46,256.9,0.52,
IBM,International Business Machines Corp,Technology,Computer Services,$142.23,0.49337,0.512,86.4,30.1,41.0,,15.6,15.1,13.5,12.1,,1.0,5.9,5.7,4.6,1.4,,,2211.0,,,6.6,25.1,22.6,0.08,
IAG,International Consolidated Airlines Group SA,Consumer Discretionary,Airlines,£1.4505,0.4631,,16.7,,,4.6,30.7,,,,0.05,,4.2,10.0,,,Outperform,Outperform,1149.0,0.0000,0.0000,3.3,45.5,-38.9,1.42,
IDS,International Distributions Services PLC,Industrials,Delivery Services,£2.566,,4.5296,,5.6,,,,5.5,,,,,0.7,0.6,,,Hold,Hold,-71.0,0.0022,0.0000,2.8,37.1,-13.5,1.19,
IPF,International Personal Finance PLC,Financials,Consumer Lending,£1.28,2.2745,2.847,,,,7.1,6.5,7.2,,,,0.6,0.6,0.8,7.2,2.2,Buy,Buy,0.0,0.0074,-0.8776,,56.7,-23.8,0.54,
INPP,International Public Partnership Ltd,Financials,Closed End Investments,£1.258,2.0317,1.1415,,,,,7.1,21.8,21.5,18.1,,0.2,0.8,1.1,6.1,2.3,Outperform,Outperform,0.0,0.0000,15.4412,,-6.61,17.3,0.60,
ITRK,Intertek Group PLC,Industrials,Professional Business Support Services,£40.165,0.47284,0.4416,15.5,22.5,20.6,18.4,19.2,29.5,26.7,24.1,4.4,2.8,5.1,8.4,2.6,2.0,Outperform,Hold,492.5,0.0000,0.0000,1.5,9.21,21.9,0.97,
IIG,Intuitive Investments Group PLC,Financials,Asset Managers and Custodians,£0.0825,,,5.9,,,,,,,,,,0.5,0.9,,,,,1.0,0.9783,-2.2790,-1.6,-5.71,-14.7,1.18,
IAT,Invesco Asia Trust PLC,Financials,Closed End Investments,£3.13,0.58744,,,,,,76.3,,,,,,0.9,0.9,4.7,0.3,,,0.0,-0.1316,-2.4520,,-2.15,,0.39,
BIPS,Invesco Bond Income Plus Ltd,Financials,Closed End Investments,£1.655,,1.5347,,,,,,20.1,,,,,1.0,1.0,6.8,,,,0.0,0.0000,0.0000,,24.2,26.8,0.10,
IVPM,Invesco Perpetual Select Trust PLC,Financials,Closed End Investments,£0.945,1.8097,2.3416,,,,,14.3,8.0,,,,,0.5,0.5,1.1,6.6,,,0.0,,,,-3.54,6.7,0.06,
IVPB,Invesco Perpetual Select Trust PLC,Financials,Closed End Investments,£1.17,1.4617,1.5716,,,,,17.7,12.8,,,,,0.6,0.8,0.9,6.6,,,0.0,,,,-18,6.7,-0.06,
IVPG,Invesco Perpetual Select Trust PLC,Financials,Closed End Investments,£2.44,0.70089,1.0732,,,,,37.0,18.9,,,,,1.2,1.1,3.0,0.9,,,0.0,,,,16.3,6.7,0.16,
IVPU,Invesco Perpetual Select Trust PLC,Financials,Closed End Investments,£1.515,1.1401,1.5663,,,,,22.7,14.5,,,,,0.7,0.9,4.7,0.9,,,0.0,0.0385,1.0969,,7.2,6.7,0.36,
IPU,Invesco Perpetual UK Smaller Companies Investment Trust PLC,Financials,Closed End Investments,£4.125,,3.2589,,,,,,5.4,,,,,0.8,0.9,4.4,,,,0.0,0.0000,0.0000,,12.4,12.0,0.72,
INVP,Investec PLC,Financials,Banks,£4.788,1.715,2.0254,,,,7.1,7.3,9.5,7.7,10.0,2.0,0.4,0.9,0.9,6.4,2.1,Buy,Buy,0.0,-0.0165,-10.6721,,37.2,108.7,1.34,
0RHV,Investis Holding SA,Real Estate,Real Estate Services,CHF92.7782,1.2961,1.6391,12.9,8.2,13.5,,12.1,6.6,10.3,,,,1.1,1.4,2.7,3.1,,,116.5,,,5.9,-3.95,37.4,-0.01,
INV,Investment Company (The) PLC,Financials,Closed End Investments,£3.35,,1.682,,,,,,10.6,,,,,1.0,0.9,,,,,0.0,3.5871,-9.8775,,19.2,-152.1,0.19,
IES,Invinity Energy Systems PLC,Industrials,Professional Business Support Services,£0.45,,,,,,,,,,,,,1.5,2.1,,,Buy,Buy,-18.4,0.0000,-0.3308,,55.2,-3.5,0.33,
IOF,Iofina PLC,Basic Materials,Specialty Chemicals,£0.285,1.4465,1.9062,6.7,9.6,19.8,9.3,8.9,5.2,,,,,1.7,1.6,,,Buy,Buy,10.1,0.0000,-7.0152,0.1,34.1,32.3,0.43,
IOG,IOG PLC,Energy,Oil - Crude Producers,£0.00975,,,2.1,311.4,,0.2,,,,,,,1.9,6.2,,,Hold,Hold,44.5,0.0000,0.0000,1.5,-94.7,-32.7,-0.12,
IOM,Iomart Group PLC,Technology,Consumer Digital Services,£1.615,1.0318,1.0233,18.9,15.6,21.0,15.2,14.4,13.5,17.0,18.1,,,1.4,1.5,3.5,2.0,Outperform,Outperform,11.4,0.0000,8.3902,1.1,0.87,13.3,0.12,
IPO,IP Group PLC,Financials,Asset Managers and Custodians,£0.534,,6.599,,,,27.0,,3.0,,,,,0.4,0.7,2.3,,Buy,Buy,0.0,0.0000,0.0000,,-7.5,-24.0,1.65,
IQAI,IQ-AI Ltd,Technology,Software,£0.053,,,,,,,,,,,,,14.3,9.2,,,,,-0.5,0.0000,0.0000,,203,-23.8,0.08,
IQE,IQE PLC,Technology,Semiconductors,£0.1734,,,,,,,,,,,,,0.8,1.2,,,Buy,Buy,-5.2,0.0000,-1.1328,2.8,-53.3,-13.7,1.94,
IQG,IQGEO Group PLC,Technology,Software,£2.53,0.081786,,,,,60.5,423.3,,,,0.7,,7.2,4.3,,,Buy,No Opinion,-0.5,-7.6012,42.8520,-3.2,68.7,-149.6,0.46,
ICGC,Irish Continental Group PLC,Industrials,Marine Transportation,£3.82,0.83342,,14.1,,,,13.8,,,,,,3.0,3.3,3.1,2.3,,,66.7,0.0000,7.9986,1.3,11.4,33.2,0.16,
IRON,Ironveld PLC,Basic Materials,Iron and Steel,£0.00275,,,,,,,,,,,,,0.2,0.6,,,No Opinion,No Opinion,-0.8,0.2495,-0.0360,,12.2,-18.7,0.09,
ITX,Itaconix PLC,Industrials,Plastics,£1.485,0.46103,,,,,,,,,,,,-20.9,57.8,,,Buy,Buy,-2.2,-9.8397,-2792.8784,,-33.3,-50.8,0.54,
ITH,Ithaca Energy PLC,Energy,Offshore Drilling and Other Services,£1.844,2.8253,,2.8,,,8.3,4.7,,,,,,0.9,,,,Outperform,Outperform,1128.3,0.0003,0.0000,0.5,,2.7,,
ITIM,Itim Group PLC,Technology,Software,£0.28,,0.81048,,31.2,,,,35.0,,,,,0.7,2.8,,,No Opinion,No Opinion,-1.2,0.0000,0.0000,-15.5,-58.5,-2.6,-0.02,
ITM,ITM Power PLC,Energy,Renewable Energy Equipment,£0.7512,,,,,,,,,,,,,1.6,5.1,,,Hold,Hold,-100.6,0.0032,16.9251,,-34,-2.4,2.15,
ITS,Itsarm PLC,Consumer Discretionary,Apparel Retailers,£0.00775,,2.323,,729.6,,,,38.9,,,,,0.04,10.4,,,No Opinion,No Opinion,-1.5,0.0000,0.0000,-8.8,-96.6,,2.02,
ITV,ITV PLC,Consumer Discretionary,Radio and TV Broadcasters,£0.7035,1.6102,1.9013,6.5,9.2,11.0,8.2,5.4,7.3,8.3,11.5,,,1.6,3.0,7.1,2.6,Outperform,Outperform,539.0,-0.0012,0.0000,0.9,30.3,17.5,1.32,
IWG,IWG PLC,Industrials,Professional Business Support Services,£1.398,,,52.3,,,,,,,,,,8.0,9.9,,,Outperform,Outperform,158.0,0.0020,1.2833,5.0,10.1,-66.7,1.77,
IXI,Ixico PLC,Health Care,Biotechnology,£0.194,1.7155,1.1172,4.5,30.4,,,9.7,27.6,,,,,0.7,3.4,,,No Opinion,Buy,0.9,0.0000,0.0000,-3.4,-43.8,-4.4,0.24,
SMJ,J Smart & Co Contractors PLC,Industrials,Construction,£1.685,1.9485,2.4691,5.7,3.1,,,10.5,4.9,8.9,,,,0.6,0.5,1.9,5.0,,,8.3,0.0000,0.0000,-2.4,7,-7.1,-0.02,
JADE,Jade Road Investments Ltd,Financials,Diversified Financial Services,£0.01875,,,,,,,,,,,,,0.2,0.2,,,,,0.0,0.0000,0.0000,,-45.7,-6.8,0.69,
JSE,Jadestone Energy Inc,Energy,Offshore Drilling and Other Services,£0.3175,1.5642,,1.2,57.1,,,9.3,,,,,,1.4,3.8,1.7,6.3,Buy,Buy,77.4,-1.1366,-5.4240,-0.8,-54.2,3.8,0.97,
JHD,James Halstead PLC,Industrials,Building Materials - Other,£2.085,0.45793,0.45498,16.3,21.1,20.7,21.7,21.4,27.1,26.2,24.3,,>10,5.2,7.4,3.7,1.3,Outperform,Outperform,52.3,0.0000,0.0000,-0.8,9.22,-7832.7,0.55,
JAN,Jangada Mines PLC,Basic Materials,Platinum and Precious Metals,£0.0205,,,,,,,,,,,,,1.3,3.1,,,,,-0.7,0.0000,-23.6571,,-34.9,-5.1,0.81,
JARB,Jardine Matheson Holdings Ltd,,,$47.56,,,,,,,,,,,,,,,,,,,,,,,-8.71,,-0.09,
JAR,Jardine Matheson Holdings Ltd,Industrials,Diversified Industrials,$46.43,0.53711,0.32577,14.6,19.2,,,8.5,12.4,14.2,,,0.9,0.5,1.4,4.7,2.5,,,3775.0,0.0781,0.1241,2.4,-22.1,32.6,0.35,
JIM,Jarvis Securities PLC,Financials,Investment Services,£1.17,0.45055,0.51011,7.9,15.9,11.5,9.9,10.5,20.1,15.2,16.3,1.7,,10.5,24.3,9.8,1.0,No Opinion,No Opinion,6.1,0.0000,0.0000,-0.6,8.69,8.6,0.34,
JWNG,Jaywing PLC,Consumer Discretionary,Media Agencies,£0.0425,5.5445,,,,,,,,,,,,-3.3,0.7,,,No Opinion,Buy,-11.6,0.0001,0.0000,5.5,-43.3,186.4,-0.10,
JD.,JD Sports Fashion PLC,Consumer Discretionary,Apparel Retailers,£1.43,0.67109,0.87851,9.3,11.0,14.7,10.7,10.8,14.7,17.8,16.6,>10,3.1,3.5,5.0,0.6,16.7,Outperform,Outperform,949.7,0.0004,0.0000,0.5,37.5,25.8,1.65,
JEL,Jersey Electricity Company (The) Ltd,Utilities,Conventional Electricity,£4.50,1.5357,1.8037,10.2,8.3,9.1,18.5,16.5,11.2,12.8,13.7,,,0.6,0.8,4.1,1.5,No Opinion,No Opinion,12.1,-0.1177,0.0000,-0.6,-9.41,12.8,-0.05,
JOG,Jersey Oil and Gas PLC,Energy,Oil - Crude Producers,£2.285,,,,,,,,,,,,,2.5,1.4,,,No Opinion,No Opinion,-3.1,0.0000,0.0000,,-13.1,-10.6,0.31,
JET2,Jet2 PLC,Consumer Discretionary,Airlines,£10.47,1.0291,,6.2,,,6.3,8.4,,,,0.2,,2.2,2.7,1.0,11.4,Buy,Buy,432.9,-18.3085,4.7237,0.7,46.3,4.0,1.27,
JLEN,JLEN Environmental Assets Group Ltd,Financials,Closed End Investments,£0.9825,2.0775,2.6372,,,,9.8,6.6,3.7,,,,,0.8,1.0,7.3,2.1,Outperform,Outperform,0.0,0.0000,-1.0254,,-5.64,14.4,0.37,
JLH,John Lewis of Hungerford PLC,,,£0.0135,,,,,,,,,,,,,,,,,,,,-13.0000,-46.7223,,0.372,,,
JMAT,Johnson Matthey PLC,Basic Materials,Chemicals - Diversified,£15.93,1.4532,1.3265,8.1,8.1,9.4,9.6,9.1,8.8,11.7,14.2,,,1.2,1.4,4.8,2.3,Hold,Hold,495.0,0.0074,0.8012,1.6,-10.3,-38.0,1.24,
JSG,Johnson Service Group PLC,Industrials,Security Services,£1.323,0.81587,0.70022,19.0,513.9,,16.8,16.4,67.1,,,,0.3,2.0,2.4,1.8,3.3,Outperform,Outperform,32.3,0.0000,0.7933,0.5,71.4,9.4,0.96,
JNEO,Journeo PLC,Industrials,Professional Business Support Services,£2.35,0.30129,0.31079,36.9,17.9,,12.1,24.3,23.9,,,0.2,0.2,9.7,7.8,,,No Opinion,Buy,1.1,0.0000,8.3163,1.3,100,-28.5,-0.17,
JPEL,JPEL Private Equity Ltd,Financials,Closed End Investments,$1.035,,2.7174,,,,,,4.1,,,,,0.6,0.7,,,Hold,Hold,0.0,0.0000,0.0000,,-17.9,0.2,-0.09,
JAM,JPMorgan American Investment Trust PLC,Financials,Closed End Investments,£7.97,,2.3848,,,,,,4.6,,,,,1.2,1.0,0.9,,,,0.0,0.0000,1.6244,,13.3,131.4,0.86,
JAGI,JPMorgan Asia Growth & Income PLC,Financials,Closed End Investments,£3.415,,2.1935,,,,,,7.6,,,,,0.9,0.9,4.8,,,,0.0,0.0035,0.0000,,2.03,70.2,0.50,
JCGI,JPMorgan China Growth & Income PLC,Financials,Closed End Investments,£2.4125,,0.62855,,,,,,172.7,,,,,0.7,0.9,9.3,,,,0.0,0.0000,0.0000,,-20.1,-349.8,1.08,
JCH,JPMorgan Claverhouse Investment Trust PLC,Financials,Closed End Investments,£6.59,,2.4116,,,,,,5.5,,,,,1.0,1.0,5.0,,,,0.0,0.0003,5.0073,,5.64,22.9,0.97,
JEMA,"Jpmorgan Emerging Europe, Middle East & Africa Securities PLC",Financials,Closed End Investments,£1.43,,38.803,,,,,,2.4,,,,,3.1,0.9,,,,,0.0,0.0000,0.0000,,100,7.1,0.36,
JMG,JPMorgan Emerging Markets Inv Trust PLC,Financials,Closed End Investments,£1.024,,3.2213,,,,,,3.8,,,,,0.9,0.9,1.3,,,,0.0,0.0000,5.0428,,-0.755,156.3,0.80,
JEDT,JPMorgan European Discovery Trust PLC,Financials,Closed End Investments,£3.685,,0.41308,,,,,,250.0,,,,,0.7,0.9,2.4,,,,0.0,-0.0124,6.0267,,7.09,50.3,1.19,
JEGI,JPMorgan European Growth & Income PLC,Financials,Asset Managers and Custodians,£0.9,1.6461,1.6821,,,,,9.7,10.9,,,,0.6,0.9,0.8,4.5,2.3,,,0.0,0.0046,0.9660,,19.4,40.0,0.83,
JARA,JPMorgan Global Core Real Assets Ltd,Financials,Asset Managers and Custodians,£0.775,2.0317,1.5291,,,,,7.2,7.6,,,,,0.8,0.9,5.2,2.7,,,0.0,0.0056,0.0000,,-19.6,18.3,0.02,
JARU,JPMorgan Global Core Real Assets Ltd,Financials,Asset Managers and Custodians,$0.94,1.6859,1.3889,,,,,7.1,7.8,,,,,0.8,0.9,,2.7,,,0.0,,,,-15.9,18.3,0.05,
JARE,JPMorgan Global Core Real Assets Ltd,Financials,Asset Managers and Custodians,€0.92,1.7225,1.2988,,,,,7.3,8.0,,,,,0.8,0.9,,2.7,,,0.0,,,,-23,18.3,0.10,
JEMI,JPMorgan Global Emerging Markets Income Trust PLC,Financials,Closed End Investments,£1.2325,,2.658,,,,,,4.6,,,,,0.9,0.9,4.2,,,,0.0,0.0034,7.6751,,5.37,28.6,0.50,
JGGI,JPMorgan Global Growth & Income PLC,Financials,Closed End Investments,£4.655,,2.5272,,,,,,4.1,,,,,1.2,1.0,3.6,,,,0.0,0.0000,0.0000,,17.8,1459.1,0.94,
JII,JPMorgan Indian Investment Trust PLC,Financials,Closed End Investments,£8.72,1.3349,3.004,,,,,15.1,2.8,,,,,0.8,0.8,,,,,0.0,0.0000,-1.0331,,2.35,-195.6,0.48,
JSGI,Jpmorgan Japan Small Cap Growth & Income PLC,Financials,Closed End Investments,£3.065,,,,,,,,,,,,,0.9,0.9,4.6,,,,0.0,-0.0100,0.9541,,-1.9,129.4,0.40,
JFJ,JPMorgan Japanese Investment Trust PLC,Financials,Closed End Investments,£4.70,,2.3393,,,,,,10.0,,,,,1.0,0.9,1.3,,,,0.0,0.0000,-2.6479,,5.35,277.6,0.56,
JMF,JPMorgan Mid Cap Investment Trust PLC,Financials,Closed End Investments,£8.94,1.3741,,,,,,13.5,,,,,,0.9,0.9,3.6,2.1,,,0.0,0.0021,0.0000,,18.4,36.0,1.26,
